AQM r3000, AQM r5000, AQM noxevent, AQM r2000, AQM coevent, GPS system_time, GPS gps_time, GPS latitude, GPS longitude 
24,43,86,36,3,2018-03-07 10:52:57.259837,10:52:57,52.56497066666667,13.409717833333334
25,42,83,36,3,2018-03-07 10:54:05.026841,10:54:04,52.564983166666664,13.409786666666667
26,42,79,36,3,2018-03-07 10:55:09.513588,10:55:09,52.565091333333335,13.4096005
29,42,74,37,3,2018-03-07 10:58:18.168155,10:58:17,52.56516466666667,13.4095315
19,42,117,35,3,2018-03-07 10:48:43.225262,10:48:43,52.56501933333333,13.409514333333334
22,43,99,36,3,2018-03-07 10:50:52.190993,10:50:52,52.565002166666666,13.409476333333334
31,41,66,38,3,2018-03-07 11:01:33.737607,11:01:33,52.5650905,13.409535833333333
33,41,62,39,3,2018-03-07 11:04:46.354956,11:04:46,52.565087166666665,13.409545833333333
38,63,60,58,137,2018-03-07 11:55:54.184540,11:55:54,52.564864166666666,13.409667
17,41,125,36,3,2018-03-07 10:47:39.205244,10:47:39,52.56506233333333,13.409498
168,192,90,372,3,2018-03-07 16:14:14.101620,16:14:14,52.53844383333333,13.367745
88,131,55,199,3,2018-03-08 09:38:39.218536,09:38:39,52.50010616666667,13.313368
182,152,86,319,3,2018-03-08 09:45:01.148825,09:45:00,52.49763883333333,13.293667333333334
768,25856,240,32000,20,2018-03-08 10:39:32.794556,10:39:32,52.49478583333333,13.290873833333332
115,144,58,260,3,2018-03-08 10:51:19.085036,10:51:18,52.494799,13.290919833333334
185,153,100,214,3,2018-03-09 12:34:07.592020,12:34:07,52.4924335,13.296222666666667
79,113,61,84,3,2018-03-09 12:30:01.281491,12:30:01,52.492114666666666,13.290361
127,177,50,328,3,2018-03-09 12:47:58.894985,12:47:58,52.468385166666664,13.311496833333333
126,174,68,328,3,2018-03-09 12:51:12.946867,12:51:12,52.46444,13.308485333333334
64,59,72,73,3,2018-03-09 14:06:36.943999,16:11:18,52.4956985,13.354531333333334
84,72,61,103,3,2018-03-09 16:11:52.154555,16:11:52,52.49603616666667,13.354882
114,93,57,178,3,2018-03-09 16:14:02.387265,16:14:02,52.496047833333336,13.3608755
110,13,87,103,172,2018-03-09 16:19:21.582427,16:19:21,52.510902,13.371495
236,30,50,122,3,2018-03-09 16:32:11.420854,16:32:11,52.525468833333335,13.413901333333333
126,15,101,89,52,2018-03-09 16:22:34.364271,16:22:34,52.5142575,13.377359333333333
56,40,81,60,223,2018-03-09 22:12:00.607442,22:12:00,52.535995,13.422302
79,56,74,75,3,2018-03-09 22:12:13.005097,22:12:12,52.53595983333334,13.4221705
39,10,64,12,3,2018-03-09 22:18:39.222324,22:18:39,52.529464833333336,13.415667
35,10,62,10,3,2018-03-09 22:22:55.945802,22:22:55,52.529391,13.415601166666667
39,10,57,12,3,2018-03-09 22:23:59.111706,22:23:58,52.529423,13.415592166666666
44,10,51,13,3,2018-03-09 22:25:02.620061,22:25:02,52.52941666666667,13.4155535
38,10,58,13,3,2018-03-09 22:31:29.256387,22:31:28,52.529423666666666,13.415635333333334
38,10,54,13,3,2018-03-09 22:33:39.062595,22:33:38,52.529392666666666,13.4156295
42,10,52,14,3,2018-03-09 22:34:40.863352,22:34:40,52.5294415,13.415683333333334
42,10,52,14,3,2018-03-09 22:36:53.402327,22:36:53,52.52941366666667,13.415584333333333
87,10,50,26,3,2018-03-09 23:11:10.673708,23:11:10,52.52943916666667,13.415686333333333
255,13,211,32,3,2018-03-09 23:12:16.043467,23:12:15,52.530323833333334,13.414225833333333
203,96,67,93,3,2018-03-10 11:12:31.793496,11:12:31,52.553062833333335,13.430146
466,113,109,241,3,2018-03-10 12:38:53.899967,12:38:53,52.535699,13.432807166666667
175,89,66,243,3,2018-03-10 13:41:55.228786,13:41:54,52.54833516666667,13.427138833333334
291,103,104,258,3,2018-03-10 13:42:59.036522,13:42:58,52.548060666666665,13.428182333333334
298,126,73,275,3,2018-03-10 13:51:30.340224,13:51:30,52.534072,13.437866833333333
552,145,101,279,3,2018-03-10 14:33:07.236175,14:33:07,52.519607,13.403680333333334
788,154,91,287,3,2018-03-10 14:34:11.545659,14:34:11,52.51772283333333,13.398905
603,134,61,269,3,2018-03-10 14:44:54.930301,14:44:54,52.513871,13.340144166666667
862,151,255,282,3,2018-03-10 14:58:47.738694,14:58:47,52.5035855,13.330793333333334
821,160,140,289,3,2018-03-10 15:04:04.670651,15:04:04,52.475858333333335,13.328628166666666
331,156,55,279,3,2018-03-10 15:12:42.228514,15:12:42,52.46368583333334,13.334938833333334
490,120,65,236,31,2018-03-10 15:19:07.999725,15:19:07,52.46308966666667,13.327021333333333
94,58,57,95,3,2018-03-10 16:23:07.557740,17:09:19,52.46801816666667,13.3315395
224,105,73,179,3,2018-03-10 17:14:41.666297,17:14:41,52.47874083333333,13.324218666666667
89,72,52,198,3,2018-03-10 17:56:16.906141,17:56:16,52.4795215,13.2947855
360,77,60,186,84,2018-03-10 18:02:39.709306,18:02:39,52.478061333333336,13.334620833333334
389,117,64,227,3,2018-03-10 18:07:55.328959,18:07:55,52.47551583333333,13.359556333333334
489,133,59,252,3,2018-03-10 18:29:18.486737,18:29:18,52.47117216666667,13.334952
744,119,89,239,17,2018-03-10 18:32:30.733660,18:32:30,52.48283166666667,13.35012
207,76,118,91,3,2018-03-11 10:38:35.472932,10:38:35,52.51115866666667,13.400326333333334
118,80,57,175,3,2018-03-11 13:10:16.646544,13:10:16,52.50958266666667,13.377822166666666
206,112,110,198,3,2018-03-11 13:42:16.055965,13:42:15,52.50967283333333,13.4004355
96,87,69,199,3,2018-03-11 14:14:25.703942,14:14:25,52.518142833333336,13.409742166666666
63,53,78,79,152,2018-03-11 14:53:10.431326,16:58:50,52.51825783333334,13.409755666666667
358,119,80,154,3,2018-03-11 17:21:16.050698,17:21:15,52.516893333333336,13.409068166666668
186,113,52,150,3,2018-03-11 17:19:08.002491,17:19:07,52.5203755,13.412600666666666
571,103,88,139,3,2018-03-11 17:25:31.667915,17:25:31,52.50463383333334,13.411225333333334
125,66,59,132,3,2018-03-11 18:00:43.943437,18:00:43,52.507693,13.390851333333334
365,96,127,150,3,2018-03-11 18:06:02.215861,18:06:01,52.5095305,13.375174333333334
740,80,50,130,3,2018-03-11 18:07:07.657672,18:07:07,52.5105625,13.371644666666667
97,50,51,112,3,2018-03-11 17:59:39.700821,17:59:39,52.5076285,13.391486
282,110,108,98,3,2018-03-12 07:49:22.405391,07:49:22,52.53038083333333,13.382775
120,85,56,71,3,2018-03-12 15:41:00.256989,15:40:59,52.55314283333333,13.444639833333333
70,47,62,50,3,2018-03-12 15:36:45.369826,15:36:45,52.55162116666666,13.447963666666666
127,96,52,80,3,2018-03-12 15:43:11.258675,15:43:11,52.553757833333336,13.440756499999999
140,26,68,42,3,2018-03-12 15:51:43.361946,15:51:43,52.550809666666666,13.4314695
231,50,53,63,3,2018-03-12 15:57:04.452876,15:57:04,52.55385366666667,13.4149915
82,15,63,31,3,2018-03-12 15:48:27.877731,15:48:27,52.551392666666665,13.436119333333334
1001,114,255,98,249,2018-03-12 16:05:38.653895,16:05:38,52.54824683333333,13.362069
142,70,62,99,3,2018-03-12 16:16:20.255477,16:16:19,52.542592166666665,13.359180833333333
168,107,53,170,3,2018-03-12 17:41:38.566623,17:41:38,52.54256683333333,13.340022666666666
372,106,82,165,7,2018-03-12 17:49:04.339710,17:49:03,52.541588,13.367649
473,111,67,171,3,2018-03-12 17:51:13.610766,17:51:12,52.54720566666667,13.373344833333334
921,148,255,194,3,2018-03-12 17:57:36.888971,17:57:36,52.55405433333333,13.408417166666666
855,147,117,193,3,2018-03-12 18:00:47.626708,18:00:47,52.55245566666667,13.425079666666667
127,123,52,55,3,2018-03-13 05:31:38.512789,05:31:38,52.552690166666665,13.425607166666667
139,111,121,48,3,2018-03-13 05:32:42.740844,05:32:42,52.55356616666667,13.417423333333334
157,121,57,51,3,2018-03-13 05:33:45.374077,05:33:45,52.5537995,13.415612666666666
187,143,59,59,3,2018-03-13 05:38:06.122016,05:38:06,52.5554955,13.390802833333334
221,144,79,59,3,2018-03-13 05:40:14.736574,05:40:14,52.55674233333333,13.375077
280,148,71,61,3,2018-03-13 05:44:30.437542,05:44:30,52.5509435,13.352576666666666
342,153,52,60,3,2018-03-13 05:49:52.215821,05:49:51,52.5410775,13.333803333333334
316,137,58,54,3,2018-03-13 05:48:49.145926,05:48:48,52.545111166666665,13.341300166666667
50,29,97,30,206,2018-03-13 15:19:32.026062,15:19:31,52.5162365,13.276588
84,15,52,14,3,2018-03-13 15:26:30.420185,15:26:30,52.50980633333333,13.301193166666666
